k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
5.6869755,862.86,1541.11,10010.44,1.2567272,1.1854651,0.0,0.9912772,12.061939,51.44047,0.0025922009,-0.06366865,0.009107332,-0.0022130283,-0.049700767,-0.0008166423,0.0070505776,-0.0012209993
2.9064665,929.13116,1557.4984,10010.915,1.2932352,1.1862742,1.0,0.9785009,11.030049,45.944458,0.020727998,0.019239742,0.016919281,-0.0032486185,-0.038066417,-0.010240912,0.04325681,-0.022121146
3.0752068,947.51044,1579.0497,10011.43,1.3429333,1.1874886,2.0,0.97994053,11.098005,46.305073,0.017366463,0.015280177,0.016009849,-0.003265055,-0.037619393,-0.0117621245,0.03982513,-0.01966067
3.1516109,966.64685,1601.3386,10011.998,1.3807867,1.1892534,3.0,0.98065996,11.132634,46.49036,0.01558032,0.013727719,0.016409766,-0.0027275402,-0.03744351,-0.01331881,0.03847433,-0.018202564
3.2286434,985.6242,1624.4017,10012.622,1.4118749,1.1914281,4.0,0.98133963,11.167247,46.675385,0.014222921,0.012331031,0.016707685,-0.0022959365,-0.037235394,-0.014860593,0.03712775,-0.016643029
3.3026557,1004.55383,1648.1935,10013.304,1.4388679,1.193931,5.0,0.9819602,11.200202,46.854397,0.013344212,0.011245171,0.01703088,-0.001792652,-0.037123084,-0.016513344,0.035911746,-0.014961452
3.3742275,1023.4988,1672.6798,10014.045,1.463414,1.196712,6.0,0.9825335,11.232103,47.029236,0.01278733,0.010204573,0.017320208,-0.0013317607,-0.036966458,-0.018151263,0.034831405,-0.013328752
3.443511,1042.5247,1697.8337,10014.847,1.486528,1.1997402,7.0,0.98306906,11.263155,47.19941,0.012463372,0.009223122,0.017564412,-0.00078659784,-0.03688756,-0.019795489,0.033894323,-0.011818607
3.510548,1061.6943,1723.6353,10015.711,1.5088466,1.2029963,8.0,0.9835723,11.293366,47.36538,0.012114952,0.008338583,0.017582182,-0.00015833846,-0.03674742,-0.021245888,0.033092864,-0.010159779
3.5754786,1081.0676,1750.0704,10016.641,1.5307779,1.2064688,9.0,0.98404646,11.322659,47.52786,0.011814765,0.0074715586,0.017546393,0.00055958814,-0.036628615,-0.022675745,0.032317303,-0.00853622
3.638536,1100.7021,1777.1316,10017.635,1.5525913,1.210151,10.0,0.9844962,11.351259,47.686893,0.011572863,0.0066398336,0.017476026,0.0012539745,-0.036506727,-0.02409695,0.031584866,-0.00696491
3.6998334,1120.6552,1804.816,10018.696,1.574473,1.214039,11.0,0.98492026,11.379221,47.843327,0.011248417,0.0059571387,0.017333582,0.0019036112,-0.03638592,-0.025529321,0.030887831,-0.0054986393
3.7597737,1140.9825,1833.1265,10019.827,1.5965586,1.2181313,12.0,0.9853213,11.4067135,47.99822,0.010791313,0.005465554,0.017092075,0.0024942202,-0.03627085,-0.026999565,0.030199863,-0.004156925
3.818575,1161.7424,1862.0702,10021.028,1.618953,1.222428,13.0,0.98570704,11.433552,48.150818,0.010410348,0.005163527,0.016775027,0.0030533746,-0.03626145,-0.028343834,0.02957995,-0.002936615
3.8759933,1182.9938,1891.6593,10022.302,1.6417439,1.22693,14.0,0.98607546,11.459871,48.301052,0.010044751,0.004892936,0.016295131,0.003573764,-0.036283758,-0.029621262,0.02889436,-0.0017658125
3.9322796,1204.7887,1921.9109,10023.648,1.665009,1.2316399,15.0,0.9864292,11.485925,48.449696,0.009986774,0.0046153623,0.015881032,0.0040331213,-0.03635234,-0.030790472,0.02818087,-0.00082385074
3.987484,1227.1807,1952.8457,10025.07,1.6888169,1.2365603,16.0,0.9867684,11.511393,48.59683,0.01007741,0.004265296,0.015756417,0.0042919107,-0.036332957,-0.031878766,0.027306704,6.706221e-05
4.041755,1250.222,1984.4885,10026.569,1.713232,1.2416952,17.0,0.98709655,11.536582,48.742638,0.010189921,0.003951602,0.015593664,0.004532669,-0.036316615,-0.03299045,0.026462356,0.0009125103
4.095002,1274.524,2016.8676,10028.146,1.7383155,1.247049,18.0,0.98741895,11.561947,48.88932,0.010502678,0.0035340723,0.015274386,0.0048498837,-0.03628523,-0.03416822,0.025800977,0.0016581509
4.1468735,1300.1326,2050.0637,10029.804,1.7643588,1.2526268,19.0,0.9877326,11.587011,49.0353,0.010809827,0.0031091115,0.014816836,0.0052307663,-0.036241114,-0.03536409,0.025382275,0.002337332
4.197569,1327.0912,2084.1587,10031.544,1.7915576,1.2584369,20.0,0.98803306,11.611833,49.18057,0.011060451,0.0026858146,0.014371629,0.005626213,-0.03624606,-0.03659698,0.025073448,0.0029419223
4.247587,1355.4508,2119.2346,10033.368,1.8200496,1.26449,21.0,0.98831457,11.636855,49.327908,0.011010718,0.0021417015,0.014034375,0.0061534047,-0.036341686,-0.037798867,0.024980463,0.0035403222
4.297666,1385.2761,2155.3745,10035.28,1.8499411,1.2707977,22.0,0.988592,11.662061,49.476757,0.010910507,0.0016335137,0.013645747,0.0066407826,-0.0364437,-0.03904331,0.024888974,0.00410318
4.346846,1416.6512,2192.6643,10037.282,1.8813248,1.2773733,23.0,0.98886037,11.687267,49.625916,0.01063958,0.0011859802,0.013205777,0.0070302566,-0.03653688,-0.04032478,0.024740864,0.004668993
4.395325,1449.6437,2231.1934,10039.376,1.914293,1.2842305,24.0,0.989123,11.712381,49.775223,0.010316241,0.00079452293,0.012818689,0.007367072,-0.036457002,-0.041543633,0.024693746,0.0050584422
4.442909,1484.3295,2271.053,10041.566,1.9489326,1.2913841,25.0,0.98938096,11.737319,49.924255,0.009907123,0.00035875663,0.012445944,0.0076432414,-0.036458906,-0.042777777,0.024793634,0.005437215
4.489471,1520.7838,2312.3384,10043.855,1.9853292,1.2988499,26.0,0.9896336,11.76203,50.072765,0.009488372,-6.636791e-05,0.0120977415,0.0078616245,-0.036482412,-0.044065587,0.024947306,0.005743607
4.5350633,1559.0833,2355.1472,10046.247,2.0235682,1.3066442,27.0,0.9898807,11.786509,50.2208,0.00906552,-0.00040898053,0.01168999,0.008057954,-0.036513623,-0.0454206,0.025158629,0.0059793135
4.579756,1599.3088,2399.579,10048.744,2.0637355,1.314784,28.0,0.9901229,11.810705,50.368736,0.008634765,-0.0007075481,0.011295834,0.008211591,-0.036512777,-0.046871006,0.025301082,0.0061005717
4.623519,1641.5398,2445.7375,10051.352,2.105919,1.3232876,29.0,0.9903621,11.834712,50.516846,0.008259549,-0.0010753768,0.011067917,0.008264945,-0.036432154,-0.048328962,0.025247587,0.006098098
4.6661797,1685.7717,2493.7288,10054.073,2.1502075,1.3321736,30.0,0.99059886,11.8586645,50.664875,0.007876471,-0.0014595389,0.010946692,0.008213834,-0.03633171,-0.04965886,0.025148543,0.0060227234
