Wall time,Step,Value
1714919985.691537,5,0.03110980987548828
1714919994.877784,6,0.029307078570127487
1714920032.956455,10,0.028072094544768333
1714920043.742926,11,0.028827199712395668
1714920063.952122,13,0.026826756075024605
1714920074.682991,14,0.02898729406297207
1714920083.889016,15,0.02636692486703396
1714920102.240838,17,0.026529135182499886
1714920111.456659,18,0.026631951332092285
1714920120.56165,19,0.02648256905376911
1714920129.839513,20,0.025396382436156273
1714920167.656078,24,0.024850865826010704
1714920251.064843,33,0.02530200034379959
1714920260.146307,34,0.025647493079304695
1714920280.791058,36,0.026777230203151703
1714920311.122713,39,0.02870931476354599
1714920320.421993,40,0.030299561098217964
1714920340.181689,42,0.033680886030197144
1714920358.904647,44,0.040844500064849854
1714920368.126541,45,0.04548138380050659
1714920386.55578,47,0.060678333044052124
1714920405.602227,49,0.085465207695961
1714920414.689202,50,0.10321275144815445
1714920445.205953,53,0.18480198085308075
1714920454.547965,54,0.22305496037006378
1714920463.644372,55,0.26744499802589417
1714920472.847091,56,0.3180132210254669
1714920482.024665,57,0.3774220645427704
1714920510.366939,60,1.1751935482025146
1714920519.639619,61,2.7872202396392822
1714920538.489475,63,1.009721040725708
1714920561.165642,65,3.402334690093994
1714920571.559761,66,1.0762231349945068
1714920581.364596,67,2.310180425643921
1714920590.819545,68,5.649134635925293
1714920618.877713,71,7.357445240020752
1714920628.224843,72,1.8016424179077148
1714920637.552303,73,2.5598318576812744
1714920646.835461,74,6.585057735443115
1714920670.199445,76,2.3035404682159424
1714920713.895406,79,37.735008239746094
1714920762.251592,84,40.30632400512695
1714920771.525777,85,2.0953922271728516
1714920781.083836,86,21.015953063964844
1714920790.375509,87,36.850040435791016
1714920799.709003,88,22.15155601501465
1714920812.831048,89,4.055128574371338
1714920865.526195,94,2.4740874767303467
1714920940.969934,102,3.3167057037353516
1714920969.271458,105,2.603821039199829
1714920978.655624,106,2.5340123176574707
1714921044.799524,113,1.3177396059036255
1714921072.885329,116,0.9218889474868774
1714921091.954747,118,0.5830182433128357
1714921101.363199,119,0.4879356920719147
1714921111.581769,120,0.3806591033935547
1714921150.86987,124,0.16543106734752655
1714921160.334623,125,0.1421460062265396
1714921169.757749,126,0.11168033629655838
1714921197.8191,129,0.09551524370908737
1714921207.175636,130,0.09979578852653503
1714921235.679687,133,0.11354706436395645
1714921272.945153,137,0.14675858616828918
1714921291.769909,139,0.1411305069923401
1714921310.594443,141,0.14146222174167633
1714921319.932622,142,0.14764072000980377
1714921329.3439,143,0.14628814160823822
1714921338.703482,144,0.13639387488365173
1714921376.125125,148,0.12425129860639572
1714921395.079688,150,0.11007542908191681
1714921423.352262,153,0.1009487584233284
1714921434.277767,154,0.09621492773294449
1714921443.801039,155,0.09167952835559845
1714921465.26319,157,0.08651050925254822
1714921474.646467,158,0.08565221726894379
1714921484.106561,159,0.08285284042358398
1714921513.586884,162,0.0781388208270073
1714921533.224026,164,0.07595163583755493
1714921542.588166,165,0.07521390914916992
1714921561.276981,167,0.07369048148393631
1714921571.951604,168,0.07307691127061844
1714921600.373311,171,0.0709075853228569
1714921648.989377,176,0.06821882724761963
1714921658.333529,177,0.06782940775156021
1714921668.519389,178,0.06717170774936676
1714921687.756756,180,0.06627722084522247
1714921697.749088,181,0.06600787490606308
1714921717.352509,183,0.06506787240505219
1714921740.035371,185,0.06439627707004547
1714921750.60232,186,0.06414873152971268
1714921762.828465,187,0.06369607895612717
1714921775.016794,188,0.06329764425754547
1714921797.517718,190,0.06274403631687164
1714921810.24856,191,0.06242632120847702
1714921886.952057,198,0.05973821505904198
1714921924.83212,202,0.058114275336265564
1714921964.212878,206,0.0564328208565712
1714921974.837081,207,0.05595547705888748
