Wall time,Step,Value
1714810517.626816,5,6893.4892578125
1714810527.174812,6,20577.22265625
1714810579.092938,10,6173.7890625
1714810597.48049,11,490.4190673828125
1714810623.375715,13,4108.66796875
1714810634.354533,14,7539.564453125
1714810644.743292,15,9142.7734375
1714810664.5637,17,6672.85693359375
1714810674.541114,18,4585.73828125
1714810684.199802,19,2898.158935546875
1714810694.144656,20,1757.7960205078125
1714810735.115497,24,320.20477294921875
1714810862.434356,33,247.26132202148438
1714810873.512282,34,256.51495361328125
1714810892.949077,36,276.7235107421875
1714810921.598893,39,313.803955078125
1714810931.243462,40,327.9815673828125
1714810950.189335,42,356.11639404296875
1714810969.347696,44,375.63531494140625
1714810978.897697,45,380.0519714355469
1714810998.13502,47,371.2803955078125
1714811017.098674,49,344.15081787109375
1714811026.620243,50,321.126953125
1714811055.08752,53,261.859130859375
1714811064.500438,54,246.8345947265625
1714811074.011923,55,234.04383850097656
1714811083.618084,56,223.071533203125
1714811093.045657,57,213.5350341796875
1714811123.576369,60,190.9497833251953
1714811133.098356,61,184.8662109375
1714811153.847501,63,174.24716186523438
1714811174.5438,65,165.24900817871094
1714811185.583264,66,161.23141479492188
1714811195.154422,67,157.483642578125
1714811204.592345,68,153.96893310546875
1714811233.533364,71,144.0458221435547
1714811243.104707,72,140.89556884765625
1714811252.557947,73,137.89370727539062
1714811262.074937,74,135.059326171875
1714811280.907237,76,129.93077087402344
1714811309.338111,79,123.68832397460938
1714811356.959962,84,117.18185424804688
1714811366.331408,85,116.39180755615234
1714811376.172385,86,115.74478149414062
1714811385.98353,87,115.22591400146484
1714811395.61223,88,114.82087707519531
1714811405.116075,89,114.51490783691406
1714811452.607827,94,114.02014923095703
1714811533.424638,102,112.67822265625
1714811567.008994,105,111.50584411621094
1714811578.081358,106,111.10813903808594
1714811654.646421,113,108.3471908569336
1714811688.274015,116,107.19841766357422
1714811710.482242,118,106.44535064697266
1714811721.589065,119,106.07217407226562
1714811732.340473,120,105.70111846923828
1714811776.556789,124,104.25518035888672
1714811787.757725,125,103.90835571289062
1714811798.753914,126,103.56063842773438
1714811831.934483,129,102.50837707519531
1714811842.778795,130,102.15359497070312
1714811876.052155,133,101.07486724853516
1714811921.000982,137,99.59829711914062
1714811942.719968,139,98.84400939941406
1714811964.562882,141,98.08793640136719
1714811975.374588,142,97.7093734741211
1714811986.507312,143,97.32772827148438
1714811997.661772,144,96.94315338134766
1714812041.754212,148,95.37975311279297
1714812063.80606,150,94.585205078125
1714812097.482443,153,93.38326263427734
1714812108.459583,154,92.98077392578125
