Wall time,Step,Value
1714912978.829628,0,56.22673416137695
1714912983.773419,1,48.27220916748047
1714912988.749793,2,44.741050720214844
1714912993.6303,3,43.23590087890625
1714912998.891184,4,40.862220764160156
1714913003.475943,5,39.55793380737305
1714913008.440238,6,38.121978759765625
1714913013.197424,7,37.422767639160156
1714913017.705829,8,36.17515563964844
1714913022.256456,9,35.47648239135742
1714913026.918654,10,34.881378173828125
1714913031.881428,11,34.022891998291016
1714913036.577607,12,33.42591094970703
1714913041.332476,13,32.75724792480469
1714913046.043514,14,32.23202896118164
1714913050.74194,15,31.69149398803711
1714913055.754273,16,31.22714614868164
1714913061.666461,17,30.581130981445312
1714913066.728291,18,30.085826873779297
1714913072.079781,19,29.549732208251953
1714913079.820605,20,29.039512634277344
1714913085.671099,21,28.647686004638672
1714913091.184134,22,28.195505142211914
1714913095.883935,23,27.840499877929688
1714913101.632439,24,27.357101440429688
1714913107.699028,25,26.89810562133789
1714913114.447685,26,26.47608184814453
1714913119.193233,27,25.989295959472656
1714913124.613871,28,25.642353057861328
1714913129.289024,29,25.244277954101562
1714913134.290947,30,24.93840980529785
1714913139.304402,31,24.659515380859375
1714913144.170271,32,24.332048416137695
1714913148.960085,33,24.041954040527344
1714913154.277155,34,23.68265151977539
1714913159.148403,35,23.329116821289062
1714913164.701392,36,23.00720977783203
1714913169.823876,37,22.706958770751953
1714913175.471614,38,22.43124008178711
1714913180.728279,39,22.196815490722656
1714913186.276145,40,21.946014404296875
1714913191.566885,41,21.722551345825195
1714913196.963418,42,21.44375228881836
1714913202.687124,43,21.19757843017578
1714913208.142915,44,20.913162231445312
1714913214.775434,45,20.665597915649414
1714913219.970026,46,20.429065704345703
1714913225.341165,47,20.200342178344727
1714913230.474782,48,20.005229949951172
1714913235.897747,49,19.79574966430664
1714913241.029005,50,19.603225708007812
1714913246.139961,51,19.412389755249023
1714913250.946989,52,19.190799713134766
1714913255.707568,53,19.001323699951172
1714913260.539003,54,18.748485565185547
1714913265.350716,55,18.578569412231445
1714913270.047727,56,18.31564712524414
1714913274.781517,57,18.15808868408203
1714913279.597156,58,17.907981872558594
1714913284.358631,59,17.761680603027344
1714913289.116739,60,17.52910804748535
1714913293.99099,61,17.380338668823242
1714913298.7081,62,17.142974853515625
1714913303.466925,63,16.998376846313477
1714913308.229209,64,16.727991104125977
1714913313.117463,65,16.582477569580078
1714913317.826012,66,16.30122184753418
1714913322.548895,67,16.153831481933594
1714913327.372726,68,15.904304504394531
1714913332.149963,69,15.739422798156738
1714913337.04621,70,15.540021896362305
1714913341.686525,71,15.354351043701172
1714913346.589835,72,15.182915687561035
1714913351.300158,73,14.97999382019043
1714913356.06001,74,14.803605079650879
1714913360.74069,75,14.594279289245605
1714913369.022802,76,14.411554336547852
1714913374.473733,77,14.212393760681152
1714913380.448979,78,14.036380767822266
1714913385.855382,79,13.845426559448242
1714913391.204897,80,13.68345832824707
1714913396.352773,81,13.491982460021973
1714913401.500589,82,13.335890769958496
1714913407.054354,83,13.140897750854492
1714913413.614756,84,12.989091873168945
1714913418.494488,85,12.797272682189941
1714913423.14647,86,12.656373977661133
1714913428.177788,87,12.473095893859863
1714913433.156953,88,12.333426475524902
1714913439.036847,89,12.149938583374023
1714913444.196094,90,11.999395370483398
1714913449.812551,91,11.849238395690918
1714913454.746378,92,11.763326644897461
1714913459.45427,93,11.562936782836914
1714913464.238525,94,11.393415451049805
1714913468.945719,95,11.190567016601562
1714913474.135979,96,11.04397964477539
1714913479.700517,97,10.882318496704102
1714913484.913461,98,10.787596702575684
1714913490.522887,99,10.64863395690918
1714913496.263446,100,10.561010360717773
1714913502.575862,101,10.385466575622559
1714913508.016366,102,10.248124122619629
1714913514.930154,103,10.07567310333252
1714913519.565671,104,9.964654922485352
1714913525.314523,105,9.815536499023438
1714913530.841849,106,9.733782768249512
1714913535.716326,107,9.58102798461914
1714913540.881303,108,9.48928451538086
1714913545.861797,109,9.32131290435791
1714913550.592113,110,9.218460083007812
