k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
5.6869755,862.86,1541.11,10010.44,1.2567272,1.1854651,0.0,0.444336,6.2459054,43.272488,0.8916963,0.027039662,-0.020134673,0.008377968,-0.07841431,-0.06398751,0.0027611698,0.015355253
7.060692,928.97076,1557.4984,10010.915,1.2932352,1.1862742,1.0,0.45032302,6.4548864,45.84041,0.91691184,0.015600507,-0.0036888865,0.0057920264,-0.072879225,-0.05122983,0.00022238982,0.00025491376
7.5627947,1029.4203,1579.0355,10011.43,1.3428667,1.1874886,2.0,0.4483316,6.5521116,47.112694,0.930381,0.010899695,0.0023599523,-0.00011183717,-0.06935516,-0.050766807,0.002182243,-0.005913459
7.8121347,1141.999,1608.5332,10011.998,1.4147449,1.1892526,3.0,0.45026085,6.602563,47.87092,0.9265532,0.009443634,0.0060356865,-0.0027368139,-0.0658796,-0.05208194,0.0052478677,-0.009960114
7.973314,1257.7566,1646.7335,10012.641,1.5051883,1.1918128,4.0,0.45432174,6.634248,48.43625,0.9151493,0.008125017,0.009429853,-0.0035438053,-0.06317031,-0.05291911,0.0065717,-0.010104545
8.099615,1373.5087,1693.5612,10013.379,1.6082926,1.1953708,5.0,0.4594908,6.6583037,48.92811,0.898758,0.007050692,0.0122644175,-0.004341917,-0.061561666,-0.05504393,0.0065488145,-0.008584168
8.209486,1488.3103,1748.6632,10014.234,1.7191961,1.2000592,6.0,0.46536216,6.6789556,49.388973,0.8800645,0.0064034536,0.015269774,-0.00437898,-0.060883686,-0.057714265,0.007027258,-0.0072942977
8.309718,1602.0433,1811.6183,10015.227,1.8345873,1.2059535,7.0,0.47182596,6.696788,49.834156,0.8602548,0.0062603867,0.018075865,-0.0046733273,-0.061236836,-0.06059851,0.0062361704,-0.0070638084
8.40297,1714.8872,1882.012,10016.376,1.9524264,1.213091,8.0,0.47863626,6.712984,50.268154,0.8398717,0.006374594,0.020637296,-0.005395894,-0.062188588,-0.0631131,0.0049653477,-0.0071695563
8.490842,1827.1195,1959.462,10017.701,2.0715604,1.2214854,9.0,0.4857389,6.7280674,50.69254,0.8189451,0.0065664593,0.023104131,-0.005922375,-0.06305482,-0.0656543,0.0035703508,-0.0072959117
8.574195,1939.0671,2043.6268,10019.219,2.191409,1.231137,10.0,0.4930961,6.7422147,51.109203,0.7975934,0.006834533,0.025465783,-0.006284547,-0.063832745,-0.06821091,0.0020612217,-0.0074636643
8.65359,2051.0698,2134.2073,10020.947,2.3117573,1.2420399,11.0,0.5008032,6.7553115,51.51962,0.7759406,0.006846996,0.027225789,-0.006546803,-0.0647815,-0.0701451,0.00015600375,-0.008258283
8.729189,2163.4668,2230.946,10022.901,2.4326158,1.2541856,12.0,0.5088844,6.767191,51.92459,0.75425595,0.006201376,0.028975945,-0.0071349936,-0.066045865,-0.07149293,-0.0014792709,-0.009322716
8.801128,2276.5745,2333.6267,10025.096,2.5541303,1.2675655,13.0,0.5171981,6.7781425,52.325855,0.73232955,0.005312821,0.030193932,-0.008044864,-0.06716595,-0.072697036,-0.003049795,-0.010740842
8.869846,2390.6877,2442.0696,10027.547,2.6765187,1.282173,14.0,0.52576923,6.7883277,52.723763,0.70958465,0.004330421,0.030812457,-0.00870784,-0.06824342,-0.07364315,-0.0045320387,-0.012434012
8.935515,2506.1025,2556.1274,10030.269,2.8000345,1.2980044,15.0,0.5345957,6.797811,53.119465,0.68650895,0.0033508544,0.031429578,-0.0092629315,-0.069343604,-0.074853495,-0.006222535,-0.013968462
8.998256,2623.1003,2675.686,10033.274,2.924953,1.3150584,16.0,0.54371285,6.8069186,53.513412,0.66307133,0.0026282151,0.031646606,-0.009455898,-0.07056224,-0.076125525,-0.008073685,-0.01540902
9.058073,2741.946,2800.6597,10036.578,3.0515575,1.3333371,17.0,0.55369264,6.817756,53.903595,0.63999224,0.0042982055,0.03131511,-0.008100442,-0.07394346,-0.077327065,-0.0076316036,-0.01636046
9.113713,2865.3943,2930.9905,10040.193,3.1801295,1.3528457,18.0,0.5641701,6.82866,54.29061,0.61591834,0.0062869806,0.030370872,-0.0062251827,-0.077423595,-0.07841332,-0.006254159,-0.01702013
9.165554,2993.5544,3066.8647,10044.132,3.311983,1.3735926,19.0,0.5755974,6.837424,54.677982,0.59184265,0.006490268,0.028141227,-0.0032736787,-0.078580126,-0.07828132,-0.004834896,-0.015975766
9.212568,3126.563,3208.471,10048.409,3.4479597,1.395601,20.0,0.5881164,6.8441124,55.06509,0.5663521,0.0052714273,0.02563047,-0.0026169466,-0.07853492,-0.07775527,-0.0036990452,-0.016287712
9.253924,3264.4631,3356.0015,10053.039,3.5886278,1.4189035,21.0,0.6019033,6.847498,55.44693,0.5415985,0.0026513953,0.021914244,-0.0014311553,-0.07892126,-0.076213576,-0.0038788994,-0.015932685
9.288674,3407.2131,3509.6453,10058.036,3.7343535,1.4435384,22.0,0.61637527,6.8488746,55.821648,0.5156455,0.0005368821,0.01755261,4.0518586e-05,-0.07904549,-0.07471499,-0.004106785,-0.014916233
9.317686,3554.6704,3669.5796,10063.416,3.8853474,1.4695483,23.0,0.6314,6.848583,56.192158,0.48899606,-0.001305857,0.012854059,0.0015928331,-0.07885819,-0.073154986,-0.0047355937,-0.013662209
9.3413105,3706.7598,3835.9622,10069.193,4.041683,1.4969773,24.0,0.64660996,6.849057,56.560986,0.4600667,-0.0021806762,0.008225444,0.0031907998,-0.07765259,-0.07187702,-0.0053973817,-0.012761202
9.360418,3863.4253,4008.9373,10075.385,4.2033815,1.5258698,25.0,0.6621212,6.8480973,56.929512,0.43067256,-0.003802498,0.004037377,0.0048214123,-0.076301694,-0.069947295,-0.006005631,-0.01146433
9.374736,4024.6826,4188.6387,10082.007,4.3704367,1.5562702,26.0,0.67735004,6.8446646,57.296005,0.40240204,-0.005994223,0.00089326967,0.005350136,-0.07522436,-0.06645962,-0.008145453,-0.008110903
9.385717,4190.499,4375.1963,10089.076,4.54286,1.5882223,27.0,0.6926438,6.841482,57.663364,0.37299773,-0.0071492046,-0.0014167355,0.0057586245,-0.07427763,-0.06254438,-0.010648563,-0.0045887134
9.392611,4360.9863,4568.7314,10096.609,4.72065,1.6217692,28.0,0.70792717,6.8391128,58.023495,0.34505045,-0.0056171454,-0.0036616554,0.0063898126,-0.07236694,-0.060006738,-0.012455855,-0.0018015387
9.395205,4536.116,4769.3696,10104.624,4.9038596,1.6569538,29.0,0.7231428,6.8361287,58.386417,0.31652135,-0.0038864033,-0.006348214,0.006380818,-0.07016137,-0.05730661,-0.013617241,-0.00078578637
9.393398,4715.457,4977.23,10113.138,5.092515,1.693819,30.0,0.73827356,6.832907,58.75177,0.28984863,-0.00078635383,-0.008425105,0.005225746,-0.06744327,-0.053351667,-0.01294236,-0.0013536976
9.3869705,4898.5596,5192.3887,10122.168,5.2864585,1.7324078,31.0,0.7529917,6.8297496,59.119534,0.26259893,0.00052561203,-0.010663142,0.004541208,-0.065327555,-0.049286347,-0.012073139,-0.003091233
9.376896,5084.9424,5414.8784,10131.733,5.4854155,1.7727605,32.0,0.76699406,6.82669,59.491596,0.23969525,0.0009862374,-0.012255154,0.0025505733,-0.065837234,-0.044155736,-0.008182315,-0.0051603494
9.364677,5274.242,5644.6895,10141.852,5.6890254,1.8149139,33.0,0.7793525,6.8273234,59.878693,0.21976551,0.0005073035,-0.013135683,0.0023049188,-0.065291524,-0.041206114,-0.0055779163,-0.005356676
9.355125,5466.288,5881.7793,10152.54,5.8969254,1.8589004,34.0,0.7898333,6.829064,60.273983,0.20263053,-0.0006902511,-0.01473274,0.0021216644,-0.06320414,-0.03736358,-0.0040464574,-0.0061822305
