k_t,M_1_t,M_2_t,M_3_t,tau_1_t,tau_2_t,t,x_t,E_t,V_t,lambda_k_t,lambda_m_1,lambda_m_2,lambda_m_3,lambda_tau_1,lambda_tau_2,lambda_t_BAU,lambda_E_t
9.630919,2512.4043,3134.8477,10056.687,3.0192037,1.4077122,24.0,0.4677535,11.245475,55.237473,0.9068178,-0.0029507582,-0.0039538583,0.007938175,-0.07119599,-0.06157923,0.27206656,0.0044012167
9.690937,2552.2358,3231.3408,10061.13,3.0762932,1.426009,25.0,0.4684173,11.320922,55.64189,0.9035463,-0.003504095,-0.0037411265,0.007951962,-0.07018707,-0.06063118,0.27433035,0.005539957
9.749266,2588.7898,3327.4011,10065.8125,3.130046,1.4447463,26.0,0.46909598,11.394184,56.034847,0.90022635,-0.004042845,-0.0035373191,0.008029896,-0.0694324,-0.059821688,0.27659875,0.006757161
9.805911,2622.137,3422.7578,10070.733,3.180486,1.4638811,27.0,0.4697102,11.465266,56.415974,0.89686465,-0.004654346,-0.0034810235,0.007870014,-0.06868766,-0.05904521,0.2788663,0.007936613
9.861073,2652.3582,3517.1575,10075.892,3.2276511,1.4833714,28.0,0.47029138,11.534195,56.78538,0.8935855,-0.0052664783,-0.003432477,0.0077139894,-0.06796643,-0.058355547,0.2811312,0.009022716
9.914799,2679.552,3610.364,10081.284,3.2715914,1.5031759,29.0,0.4709745,11.6010685,57.141438,0.8906428,-0.0058908155,-0.0033837557,0.007574266,-0.06727133,-0.05784368,0.28346258,0.00985381
9.966889,2703.8254,3702.1597,10086.908,3.312372,1.5232544,30.0,0.47160462,11.665678,57.485367,0.88776016,-0.006505047,-0.0033382783,0.0074314876,-0.06659899,-0.057395514,0.285769,0.010613414
10.017617,2725.284,3792.3455,10092.76,3.350071,1.5435679,31.0,0.47213948,11.728194,57.817745,0.88496804,-0.0069843344,-0.0032409853,0.0072686886,-0.0660624,-0.05698103,0.28784898,0.01124999
10.067179,2744.049,3880.7395,10098.834,3.384773,1.5640789,32.0,0.47259837,11.788647,58.138935,0.8823544,-0.0073997667,-0.0031326897,0.007115949,-0.06564737,-0.056619287,0.28984162,0.011802773
10.11563,2760.2524,3967.178,10105.128,3.4165747,1.584751,33.0,0.4729746,11.847045,58.449406,0.88018566,-0.007806304,-0.0030798162,0.0070595844,-0.06553015,-0.056332078,0.2919217,0.0123636415
10.1630335,2774.029,4051.5151,10111.636,3.4455833,1.6055495,34.0,0.47327766,11.903415,58.74936,0.878013,-0.008038781,-0.0030733366,0.0069671497,-0.065414615,-0.05611783,0.29400682,0.012858944
10.209417,2785.5154,4133.6235,10118.353,3.4719148,1.6264411,35.0,0.47350675,11.9574,59.03806,0.875738,-0.008005361,-0.0034947246,0.0068412945,-0.065222755,-0.055971507,0.29601315,0.013479793
10.254818,2794.849,4213.3926,10125.271,3.4956908,1.6473945,36.0,0.47370553,12.009358,59.31583,0.8736538,-0.008007577,-0.0039558862,0.006730495,-0.06504104,-0.055869102,0.29797298,0.01405081
10.299189,2802.167,4290.7285,10132.388,3.517038,1.66838,37.0,0.47387657,12.059426,59.58301,0.87176645,-0.007998883,-0.0044110357,0.0066496003,-0.064891934,-0.055818427,0.2999064,0.014556179
10.342533,2807.603,4365.5537,10139.694,3.536085,1.6893697,38.0,0.47405168,12.107701,59.839844,0.8701598,-0.007985175,-0.004920852,0.0066632703,-0.06480643,-0.05581597,0.30181774,0.015022737
10.384815,2811.2888,4437.804,10147.187,3.5529602,1.7103373,39.0,0.47421232,12.154063,60.086254,0.86877,-0.008028225,-0.0054431986,0.006587103,-0.06478407,-0.055812728,0.30368263,0.015477591
10.42608,2813.3525,4507.432,10154.856,3.567793,1.7312584,40.0,0.47434255,12.198626,60.322773,0.867549,-0.008073105,-0.0059379363,0.00649112,-0.06478869,-0.055844355,0.30550963,0.015872912
10.466391,2813.9202,4574.4014,10162.698,3.5807114,1.7521104,41.0,0.47443807,12.2414665,60.549835,0.8664829,-0.008102314,-0.00638894,0.006397982,-0.06480817,-0.05592469,0.30730093,0.016200766
10.505793,2813.1157,4638.6885,10170.704,3.5918407,1.7728722,42.0,0.47440577,12.282654,60.76794,0.8657762,-0.008253132,-0.006941034,0.006199278,-0.065156676,-0.056042943,0.3089163,0.01634522
10.5444975,2811.06,4700.2827,10178.868,3.6013055,1.7935247,43.0,0.47431198,12.322323,60.977634,0.8653083,-0.008431427,-0.007494246,0.0059721554,-0.06561833,-0.05620211,0.3104541,0.01638663
10.582457,2807.8728,4759.1846,10187.184,3.609229,1.8140503,44.0,0.4741757,12.360619,61.179348,0.86499625,-0.008602461,-0.008030253,0.0057365866,-0.06606397,-0.056377903,0.3118183,0.0163434
10.619637,2803.6677,4815.4033,10195.645,3.6157317,1.8344327,45.0,0.4739862,12.397493,61.373108,0.8649322,-0.008714453,-0.00853894,0.005535326,-0.06649208,-0.056629583,0.31307718,0.016198466
10.656062,2798.5515,4868.9595,10204.242,3.6209323,1.8546575,46.0,0.47377896,12.43298,61.559185,0.86500275,-0.008806321,-0.008993015,0.005338328,-0.06692253,-0.05691451,0.31431067,0.01600429
10.69169,2792.6255,4919.882,10212.972,3.6249437,1.8747118,47.0,0.47355613,12.467092,61.737663,0.86519855,-0.008878741,-0.009393807,0.005145277,-0.06735409,-0.057231005,0.3155166,0.015771331
10.726519,2785.9854,4968.2065,10221.825,3.6278749,1.8945838,48.0,0.4733197,12.499903,61.908962,0.8655128,-0.008931103,-0.009743855,0.004955258,-0.067785054,-0.05757723,0.3166948,0.015496605
10.760556,2778.7205,5013.9766,10230.797,3.62983,1.9142635,49.0,0.47307184,12.531452,62.0733,0.86593807,-0.008964405,-0.010042992,0.0047663134,-0.0682164,-0.05795046,0.31784588,0.015189037
10.793815,2770.9158,5057.242,10239.879,3.630907,1.9337419,50.0,0.47281408,12.561808,62.23096,0.8664705,-0.008979651,-0.010290666,0.0045802603,-0.06864563,-0.05834911,0.31896842,0.014849874
10.826308,2762.65,5098.0576,10249.066,3.6311996,1.9530115,51.0,0.4725482,12.591005,62.38224,0.8671038,-0.00897532,-0.010488631,0.0043957,-0.06907498,-0.05877192,0.32006374,0.014481527
10.858051,2753.9968,5136.482,10258.353,3.6307955,1.9720656,52.0,0.4722753,12.619109,62.527443,0.8678316,-0.00895445,-0.010639437,0.0042131264,-0.06950116,-0.059215322,0.32113037,0.0140864495
10.889057,2745.0254,5172.579,10267.731,3.6297774,1.9908987,53.0,0.471997,12.646175,62.66688,0.8686495,-0.008917154,-0.010742386,0.004029976,-0.069925986,-0.059680544,0.32217014,0.013669423
10.919339,2735.7988,5206.416,10277.198,3.628224,2.0095065,54.0,0.47171488,12.672244,62.800793,0.8695506,-0.008863155,-0.010798448,0.0038480472,-0.070349805,-0.06016375,0.32318226,0.013233197
10.948913,2726.3757,5238.063,10286.745,3.626207,2.0278854,55.0,0.47142985,12.697372,62.929455,0.8705301,-0.008793024,-0.010811749,0.0036666773,-0.070768446,-0.060663726,0.3241676,0.0127775865
10.977788,2716.8093,5267.5913,10296.368,3.623795,2.046033,56.0,0.4711432,12.721602,63.05313,0.8715813,-0.0087082265,-0.010782258,0.0034854652,-0.071185954,-0.061179336,0.32512593,0.012305831
11.005981,2707.149,5295.0757,10306.0625,3.62105,2.0639467,57.0,0.47085574,12.744979,63.172104,0.87269986,-0.0086087715,-0.010711469,0.0033027076,-0.07159839,-0.061708756,0.3260582,0.011823357
11.0335045,2697.4387,5320.5913,10315.821,3.61803,2.081626,58.0,0.47056866,12.767547,63.286545,0.8738792,-0.008495781,-0.01060037,0.003119963,-0.07200908,-0.06225078,0.32696345,0.011329499
11.0603695,2687.7188,5344.2134,10325.642,3.6147885,2.09907,59.0,0.4702828,12.789343,63.396767,0.87511295,-0.008370005,-0.010452345,0.0029370908,-0.07241469,-0.06280421,0.32784393,0.010825116
11.086591,2678.0242,5366.019,10335.518,3.6113744,2.1162796,60.0,0.46999872,12.810427,63.502907,0.8763988,-0.008232221,-0.010267619,0.00275327,-0.07281676,-0.06336866,0.32869932,0.010314501
11.112181,2668.3875,5386.085,10345.444,3.6078317,2.1332548,61.0,0.46973136,12.83092,63.605087,0.87775165,-0.007937615,-0.009951068,0.002515401,-0.07321585,-0.06390064,0.32947457,0.0098632835
11.137126,2658.8362,5404.487,10355.418,3.6042008,2.1499972,62.0,0.46946886,12.850768,63.703537,0.8791453,-0.0076166783,-0.009589977,0.0022708809,-0.073611096,-0.06443291,0.33021948,0.009416524
11.161454,2649.395,5421.3003,10365.434,3.6005173,2.1665082,63.0,0.46920535,12.8700075,63.798473,0.88062865,-0.007284512,-0.009200846,0.0020525826,-0.07405463,-0.064834975,0.33097854,0.009036384
11.185194,2640.0852,5436.6,10375.489,3.5968137,2.1827898,64.0,0.4689445,12.888654,63.890186,0.8821383,-0.0069580358,-0.008790394,0.0018370098,-0.07449051,-0.06525229,0.33171958,0.008645994
11.208358,2630.9248,5450.4595,10385.579,3.5931182,2.1988447,65.0,0.4686872,12.906746,63.97887,0.88367224,-0.0066353288,-0.00836133,0.0016230552,-0.07491954,-0.06568467,0.33244142,0.008248779
11.230956,2621.929,5462.95,10395.7,3.5894566,2.2146752,66.0,0.46843374,12.924289,64.064705,0.8852253,-0.0063180896,-0.007915099,0.0014136925,-0.075340346,-0.06612972,0.33314475,0.007841584
11.253,2613.1104,5474.1426,10405.849,3.5858502,2.2302845,67.0,0.46818426,12.941346,64.14777,0.88679534,-0.0060048215,-0.007452889,0.0012051503,-0.0757548,-0.066586465,0.33383057,0.0074306466
11.274504,2604.4795,5484.1055,10416.022,3.5823183,2.2456756,68.0,0.46793935,12.957916,64.228294,0.88837606,-0.0056961523,-0.0069751116,0.0009987832,-0.07616168,-0.067053266,0.3344988,0.007015417
11.295477,2596.044,5492.906,10426.217,3.5788772,2.2608519,69.0,0.4676989,12.974033,64.306366,0.8899667,-0.005393265,-0.0064831576,0.000794478,-0.076561056,-0.06753126,0.3351506,0.006596809
11.315933,2587.8096,5500.6074,10436.431,3.5755398,2.2758167,70.0,0.46746323,12.989724,64.38218,0.89156246,-0.0050935447,-0.005976505,0.00059066014,-0.0769525,-0.068018876,0.33578408,0.006176125
11.335884,2579.781,5507.2734,10446.66,3.572318,2.2905736,71.0,0.46723256,13.005006,64.45579,0.89316314,-0.0047986144,-0.0054605394,0.0003894081,-0.07733711,-0.06851351,0.33640286,0.0057538464
11.35534,2571.9602,5512.964,10456.903,3.56922,2.3051264,72.0,0.46700716,13.019899,64.527275,0.89476556,-0.0045079477,-0.00492931,0.00019518752,-0.077715956,-0.069021404,0.3370172,0.0053408216
